STATION,STATION_NAME,DATE,TPCP,
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150101,236,
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150201,38,
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150301,254,25.4
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150401,64,6.4
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150501,239,23.9
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150601,3,0.3
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150701,311,31.1
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150801,62,6.2
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20150901,28,2.8
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20151001,617,61.7
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20151101,81,8.1
GHCND:US1AZMR0245,GOODYEAR 2.9 W AZ US,20151201,50,5
