STATION,STATION_NAME,DATE,PRCP,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160408,0.3,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160409,0.14,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160411,0.7,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160501,0.05,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160507,0.08,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160508,0.03,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160630,0.05,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160702,0.4,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160718,0.06,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160801,0.2,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160803,0.56,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160804,0.52,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160805,0.06,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160810,0.11,
GHCND:US1AZMR0080,NEW RIVER 3.2 ENE AZ US,20160823,0.23,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160101,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160102,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160103,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160104,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160105,0.33,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160106,0.3,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160107,0.08,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160108,0.57,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160109,0.01,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160110,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160111,0,
