date,influent_flow,frw1_outflow,frw2_outflow,frw3_outflow
1/1/12,NA,28.8008,NA,NA
1/2/12,NA,27.5158,NA,NA
1/3/12,NA,29.0339,NA,NA
1/4/12,NA,29.2901,NA,NA
1/5/12,NA,30.7257,NA,NA
1/6/12,NA,29.3901,NA,NA
1/7/12,NA,29.9433,NA,NA
1/8/12,NA,31.2565,NA,NA
1/9/12,NA,32.8884,NA,NA
1/10/12,NA,31.6293,NA,NA
1/11/12,NA,30.2823,NA,NA
1/12/12,NA,29.1059,NA,NA
1/13/12,NA,16.4361,NA,NA
1/14/12,NA,18.8255,NA,NA
1/15/12,NA,28.4014,NA,NA
1/16/12,NA,26.6403,NA,NA
1/17/12,NA,23.8991,NA,NA
1/18/12,NA,28.3783,NA,NA
1/19/12,NA,32.2462,NA,NA
1/20/12,NA,29.796,NA,NA
1/21/12,NA,23.8033,NA,NA
1/22/12,NA,20.7857,NA,NA
1/23/12,NA,19.173,NA,NA
1/24/12,NA,14.9411,NA,NA
1/25/12,NA,15.5849,NA,NA
1/26/12,NA,10.702,NA,NA
1/27/12,NA,12.5611,NA,NA
1/28/12,NA,17.7997,NA,NA
1/29/12,NA,24.3111,NA,NA
1/30/12,NA,24.0654,NA,NA
1/31/12,NA,17.9286,NA,NA
2/1/12,NA,16.2475,NA,NA
2/2/12,NA,19.5648,NA,NA
2/3/12,NA,23.7963,NA,NA
2/4/12,NA,24.036,NA,NA
2/5/12,NA,24.9442,NA,NA
2/6/12,NA,25.9163,NA,NA
2/7/12,NA,24.5789,NA,NA
2/8/12,NA,22.8175,NA,NA
2/9/12,NA,21.6552,NA,NA
2/10/12,NA,21.8163,NA,NA
2/11/12,NA,21.454,NA,NA
2/12/12,NA,20.9796,NA,NA
2/13/12,NA,19.4273,NA,NA
2/14/12,NA,19.0218,NA,NA
2/15/12,NA,20.0173,NA,NA
2/16/12,NA,20.7464,NA,NA
2/17/12,NA,21.6745,NA,NA
2/18/12,NA,22.2802,NA,NA
2/19/12,NA,22.4072,NA,NA
2/20/12,NA,20.255,NA,NA
2/21/12,NA,17.6133,NA,NA
2/22/12,NA,16.3154,NA,NA
2/23/12,NA,14.5517,NA,NA
2/24/12,NA,13.7806,NA,NA
2/25/12,NA,17.6402,NA,NA
2/26/12,NA,23.9313,NA,NA
2/27/12,NA,25.4098,NA,NA
2/28/12,NA,24.1105,NA,NA
2/29/12,NA,23.9445,NA,NA
3/1/12,NA,27.3197,NA,NA
3/2/12,NA,30.1071,NA,NA
3/3/12,NA,28.0226,NA,NA
3/4/12,NA,27.8593,NA,NA
3/5/12,NA,29.2841,NA,NA
3/6/12,NA,29.4354,NA,NA
3/7/12,NA,29.9961,NA,NA
3/8/12,NA,30.6245,NA,NA
3/9/12,NA,28.5744,NA,NA
3/10/12,NA,26.4499,NA,NA
3/11/12,NA,31.4046,NA,NA
3/12/12,NA,31.3223,NA,NA
3/13/12,NA,21.5057,NA,NA
3/14/12,NA,21.7326,NA,NA
3/15/12,NA,27.6907,NA,NA
3/16/12,NA,29.1928,NA,NA
3/17/12,NA,28.8617,NA,NA
3/18/12,NA,30.217,NA,NA
3/19/12,NA,31.6065,NA,NA
3/20/12,NA,31.7151,NA,NA
3/21/12,NA,29.4873,NA,NA
3/22/12,NA,31.1553,NA,NA
3/23/12,NA,31.0737,NA,NA
3/24/12,NA,32.4928,NA,NA
3/25/12,NA,33.1755,NA,NA
3/26/12,NA,34.9341,NA,NA
3/27/12,NA,36.9062,NA,NA
3/28/12,NA,32.7071,NA,NA
3/29/12,NA,28.5888,NA,NA
3/30/12,NA,27.2089,NA,NA
3/31/12,NA,28.7842,NA,NA
4/1/12,NA,30.9912,NA,NA
4/2/12,NA,32.1048,NA,NA
4/3/12,NA,39.7048,NA,NA
4/4/12,NA,37.3806,NA,NA
4/5/12,NA,36.1604,NA,NA
4/6/12,NA,35.2957,NA,NA
4/7/12,NA,27.5945,NA,NA
4/8/12,NA,26.6261,NA,NA
4/9/12,NA,28.1333,NA,NA
4/10/12,NA,23.342,NA,NA
4/11/12,NA,32.2279,NA,NA
4/12/12,NA,20.4514,NA,NA
4/13/12,NA,17.5626,NA,NA
4/14/12,NA,25.8108,NA,NA
4/15/12,NA,26.0987,NA,NA
4/16/12,NA,24.8146,NA,NA
4/17/12,NA,25.7341,NA,NA
4/18/12,NA,27.0564,NA,NA
4/19/12,NA,24.2154,NA,NA
4/20/12,NA,23.7922,NA,NA
