,date,transect,quadrat,water depth,notes
1,6/30/11,M_4_C,13,,
2,6/30/11,M_4_C,17,,
3,6/30/11,M_4_C,27,,
4,6/30/11,M_4_C,33,,
5,6/30/11,M_4_C,58,,
6,6/30/11,M_4_S,9,,
7,6/30/11,M_4_S,16,,
8,6/30/11,M_4_S,35,,
9,6/30/11,M_4_S,37,,
10,6/30/11,M_4_S,43,,
11,7/7/11,C_2,5,,
12,7/7/11,C_2,16,,
13,7/7/11,C_2,17,,
14,7/7/11,C_2,18,,
15,7/7/11,C_2,30,,
16,7/7/11,M_3,2,,
17,7/7/11,M_3,19,,
18,7/7/11,M_3,20,,
19,7/7/11,M_3,23,,
20,7/7/11,M_3,28,,
21,7/8/11,C_1,6,,
22,7/8/11,C_1,8,,
23,7/8/11,C_1,19,,
24,7/8/11,C_1,28,,
25,7/8/11,C_1,40,,
26,7/8/11,M_1_W,11,,
27,7/8/11,M_1_W,15,,
28,7/8/11,M_1_W,18,,
29,7/8/11,M_1_W,32,,
30,7/8/11,M_1_W,47,,
31,7/8/11,M_2,12,,
32,7/8/11,M_2,14,,
33,7/8/11,M_2,28,,
34,7/8/11,M_2,33,,
35,7/8/11,M_2,35,,
36,7/14/11,M_4_N,9,,
37,7/14/11,M_4_N,15,,
38,7/14/11,M_4_N,18,,
39,7/14/11,M_4_N,26,,
40,7/14/11,M_4_N,27,,
41,7/14/11,M_5,10,,
42,7/14/11,M_5,20,,
43,7/14/11,M_5,22,,
44,7/14/11,M_5,25,,
45,7/14/11,M_5,29,,
46,7/21/11,M_1_E,4,,
47,7/21/11,M_1_E,5,,
48,7/21/11,M_1_E,19,,
49,7/21/11,M_1_E,55,,
50,7/21/11,M_1_E,58,,
51,9/23/11,M_3,12,,
52,9/23/11,M_3,19,,
53,9/23/11,M_3,23,,
54,9/23/11,M_3,28,,
55,9/23/11,M_3,37,,
56,9/23/11,M_4_C,7,,
57,9/23/11,M_4_C,8,,
58,9/23/11,M_4_C,17,,
59,9/23/11,M_4_C,31,,
60,9/23/11,M_4_C,52,,
61,9/23/11,M_4_N,2,,
62,9/23/11,M_4_N,11,,
63,9/23/11,M_4_N,20,,
64,9/23/11,M_4_N,33,,
65,9/23/11,M_4_N,54,,
66,9/23/11,M_4_S,7,,
67,9/23/11,M_4_S,13,,
68,9/23/11,M_4_S,17,,
69,9/23/11,M_4_S,23,,
70,9/23/11,M_4_S,56,,
71,9/26/11,C_1,21,,
72,9/26/11,C_1,36,,
73,9/26/11,C_1,46,,
74,9/26/11,C_1,49,,
75,9/26/11,C_1,52,,
76,9/26/11,M_1_E,10,,
77,9/26/11,M_1_E,16,,
78,9/26/11,M_1_E,24,,
79,9/26/11,M_1_E,45,,
80,9/26/11,M_1_E,53,,
81,9/26/11,M_1_W,19,,
82,9/26/11,M_1_W,21,,
83,9/26/11,M_1_W,38,,
84,9/26/11,M_1_W,41,,
85,9/26/11,M_1_W,49,,
86,9/26/11,M_5,10,,
87,9/26/11,M_5,46,,
88,9/26/11,M_5 ,2,,
89,9/26/11,M_5 ,20,,
90,9/26/11,M_5 ,33,,
91,9/30/11,C_2,7,,
92,9/30/11,C_2,21,,
93,9/30/11,C_2,27,,
94,9/30/11,C_2,31,,
95,9/30/11,C_2,52,,
96,9/30/11,M_2,5,,
97,9/30/11,M_2,15,,
98,9/30/11,M_2,27,,
99,9/30/11,M_2,34,,
100,9/30/11,M_2,46,,
101,11/14/11,C_1,5,,
102,11/14/11,C_1,32,,
103,11/14/11,C_1,39,,
104,11/14/11,C_1,46,,
105,11/14/11,C_1,53,,
106,11/14/11,C_2,5,,
107,11/14/11,C_2,22,,
108,11/14/11,C_2,31,,
109,11/14/11,M_1_E,20,,
110,11/14/11,M_1_E,22,,
111,11/14/11,M_1_E,42,,
112,11/14/11,M_1_E,48,,
113,11/14/11,M_1_W,7,,
114,11/14/11,M_1_W,8,,
115,11/14/11,M_1_W,20,,
116,11/14/11,M_1_W,27,,
117,11/14/11,M_1_W,41,,
118,11/14/11,M_2,7,,
119,11/14/11,M_2,22,,
120,11/14/11,M_2,23,,
121,11/14/11,M_2,26,,
122,11/14/11,M_2,46,,
123,11/14/11,M_3,7,,
124,11/14/11,M_3,41,,
125,11/14/11,M_3,43,,
126,11/14/11,M_3,48,,
127,11/14/11,M_4_C,1,,
128,11/14/11,M_4_C,11,,
129,11/14/11,M_4_C,35,,
130,11/14/11,M_4_C,38,,
131,11/14/11,M_4_N,2,,
132,11/14/11,M_4_N,13,,
133,11/14/11,M_4_N,38,,
134,11/14/11,M_4_N,45,,
135,11/14/11,M_4_N,56,,
136,11/14/11,M_4_S,2,,
137,11/14/11,M_4_S,12,,
138,11/14/11,M_4_S,36,,
139,11/14/11,M_4_S,45,,
140,11/14/11,M_4_S,56,,
141,11/14/11,M_5 ,12,,
142,11/14/11,M_5 ,17,,
143,11/14/11,M_5 ,24,,
144,11/14/11,M_5 ,37,,
145,11/14/11,M_5 ,48,,
146,11/18/11,C_1,5,,
147,11/18/11,C_1,39,,
148,11/18/11,C_1,46,,
149,11/18/11,C_2,5,,
150,11/18/11,C_2,9,,
151,11/18/11,C_2,14,,
152,11/18/11,C_2,22,,
153,11/18/11,C_2,31,,
154,11/18/11,M_1_E,20,,
155,11/18/11,M_1_E,22,,
156,11/18/11,M_1_E,42,,
157,11/18/11,M_1_E,48,,
158,11/18/11,M_1_W,7,,
159,11/18/11,M_1_W,8,,
160,11/18/11,M_1_W,20,,
161,11/18/11,M_1_W,27,,
162,11/18/11,M_1_W,41,,
163,11/18/11,M_2,7,,
164,11/18/11,M_2,22,,
165,11/18/11,M_2,23,,
166,11/18/11,M_2,26,,
167,11/18/11,M_2,46,,
168,11/18/11,M_3,7,,
169,11/18/11,M_3,17,,
170,11/18/11,M_3,41,,
171,11/18/11,M_3,43,,
172,11/18/11,M_3,48,,
173,11/18/11,M_4_C,1,,
174,11/18/11,M_4_C,11,,
175,11/18/11,M_4_C,20,,
176,11/18/11,M_4_C,35,,
177,11/18/11,M_4_C,38,,
178,11/18/11,M_4_N,2,,
179,11/18/11,M_4_N,13,,
180,11/18/11,M_4_N,45,,
181,11/18/11,M_4_N,56,,
182,11/18/11,M_4_S,2,,
183,11/18/11,M_4_S,12,,
184,11/18/11,M_4_S,36,,
185,11/18/11,M_4_S,45,,
186,11/18/11,M_4_S,56,,
187,11/18/11,M_5 ,12,,
188,11/18/11,M_5 ,17,,
189,11/18/11,M_5 ,24,,
190,11/18/11,M_5 ,37,,
191,11/18/11,M_5 ,48,,
192,1/12/12,M_4_N,9,,
193,1/12/12,M_4_N,12,,
194,1/12/12,M_4_N,22,,
195,1/12/12,M_4_N,38,,
196,1/12/12,M_4_N,40,,
197,1/12/12,M_5,4,,
198,1/12/12,M_5,10,,
199,1/12/12,M_5,23,,
200,1/12/12,M_5,26,,
201,1/12/12,M_5,45,,
202,1/18/12,C_1,8,,
203,1/18/12,C_1,11,,
204,1/18/12,C_1,32,,
205,1/18/12,C_1,34,,
206,1/18/12,C_1,37,,
207,1/18/12,C_2,12,,
208,1/18/12,C_2,25,,
209,1/18/12,C_2,29,,
210,1/18/12,C_2,41,,
211,1/18/12,C_2,46,,
212,1/18/12,M_1_E,8,,
213,1/18/12,M_1_E,14,,
214,1/18/12,M_1_E,25,,
215,1/18/12,M_1_E,26,,
216,1/18/12,M_1_E,36,,
217,1/18/12,M_1_W,10,,
218,1/18/12,M_1_W,16,,
219,1/18/12,M_1_W,37,,
220,1/18/12,M_1_W,39,,
221,1/18/12,M_1_W,41,,
222,1/18/12,M_2,15,,
223,1/18/12,M_2,19,,
224,1/18/12,M_2,30,,
225,1/18/12,M_2,42,,
226,1/18/12,M_2,49,,
227,1/18/12,M_3,11,,
228,1/18/12,M_3,15,,
229,1/18/12,M_3,19,,
230,1/18/12,M_3,31,,
231,1/18/12,M_3,46,,
232,1/18/12,M_4_C,2,,
233,1/18/12,M_4_C,3,,
234,1/18/12,M_4_C,33,,
235,1/18/12,M_4_C,37,,
236,1/18/12,M_4_C,48,,
237,1/18/12,M_4_S,1,,
238,1/18/12,M_4_S,7,,
239,1/18/12,M_4_S,10,,
240,1/18/12,M_4_S,24,,
241,1/18/12,M_4_S,50,,
242,3/7/12,C_1,1,,
243,3/7/12,C_1,25,,
244,3/7/12,C_1,42,,
245,3/7/12,C_1,47,,
246,3/7/12,C_1,49,,
247,3/7/12,C_2,28,,
248,3/7/12,C_2,31,,
249,3/7/12,C_2,34,,
250,3/7/12,C_2,44,,
251,3/7/12,C_2,50,,
252,3/7/12,M_1_E,15,,
253,3/7/12,M_1_E,16,,
254,3/7/12,M_1_E,17,,
255,3/7/12,M_1_E,36,,
256,3/7/12,M_1_E,39,,
257,3/7/12,M_1_W,4,,
258,3/7/12,M_1_W,15,,
259,3/7/12,M_1_W,25,,
260,3/7/12,M_1_W,42,,
261,3/7/12,M_1_W,48,,
262,3/7/12,M_2,4,,
263,3/7/12,M_2,21,,
264,3/7/12,M_2,23,,
265,3/7/12,M_2,43,,
266,3/7/12,M_2,45,,
267,3/7/12,M_3,2,,
268,3/7/12,M_3,15,,
269,3/7/12,M_3,22,,
270,3/7/12,M_3,43,,
271,3/7/12,M_3,52,,
272,3/7/12,M_4_C,13,,
273,3/7/12,M_4_C,21,,
274,3/7/12,M_4_C,22,,
275,3/7/12,M_4_C,27,,
276,3/7/12,M_4_C,52,,
277,3/7/12,M_4_S,5,,
278,3/7/12,M_4_S,15,,
279,3/7/12,M_4_S,34,,
280,3/7/12,M_4_S,37,,
281,3/7/12,M_4_S,38,,
282,3/9/12,M_4_N,4,,
283,3/9/12,M_4_N,12,,
284,3/9/12,M_4_N,40,,
285,3/9/12,M_4_N,49,,
286,3/9/12,M_4_N,51,,
287,3/9/12,M_5,6,,
288,3/9/12,M_5,12,,
289,3/9/12,M_5,22,,
290,3/9/12,M_5,51,,
291,3/9/12,M_5,54,,
292,5/1/12,M_4_C,12,,
293,5/1/12,M_4_C,19,,
294,5/1/12,M_4_C,27,,
295,5/1/12,M_4_C,42,,
296,5/1/12,M_4_C,59,,
297,5/1/12,M_4_N,1,,
298,5/1/12,M_4_N,18,,
299,5/1/12,M_4_N,36,,
300,5/1/12,M_4_N,45,,
301,5/1/12,M_4_N,46,,
302,5/1/12,M_4_S,3,,
303,5/1/12,M_4_S,5,,
304,5/1/12,M_4_S,18,,
305,5/1/12,M_4_S,26,,
306,5/1/12,M_4_S,29,,
307,5/1/12,M_5,26,,
308,5/1/12,M_5,36,,
309,5/1/12,M_5,39,,
310,5/1/12,M_5,43,,
311,5/1/12,M_5,44,,
312,5/7/12,C_1,2,,
313,5/7/12,C_1,26,,
314,5/7/12,C_1,29,,
315,5/7/12,C_1,30,,
316,5/7/12,C_1,40,,
317,5/7/12,C_2,5,,
318,5/7/12,C_2,13,,
319,5/7/12,C_2,22,,
320,5/7/12,C_2,52,,
321,5/7/12,C_2,58,,
322,5/7/12,M_1_E,2,,
323,5/7/12,M_1_E,10,,
324,5/7/12,M_1_E,19,,
325,5/7/12,M_1_E,23,,
326,5/7/12,M_1_E,36,,
327,5/7/12,M_1_W,24,,
328,5/7/12,M_1_W,25,,
329,5/7/12,M_1_W,27,,
330,5/7/12,M_1_W,50,,
331,5/7/12,M_1_W,53,,
332,5/7/12,M_2,22,,
333,5/7/12,M_2,32,,
334,5/7/12,M_2,33,,
335,5/7/12,M_2,47,,
336,5/7/12,M_3,14,,
337,5/7/12,M_3,15,,
338,5/7/12,M_3,19,,
339,5/7/12,M_3,42,,
340,5/7/12,M_3,53,,
341,7/9/12,M_1_E,26,,
342,7/9/12,M_1_E,30,,
343,7/9/12,M_1_E,38,,
344,7/9/12,M_1_E,47,,
345,7/9/12,M_1_E,49,,
346,7/9/12,M_1_W,18,,
347,7/9/12,M_1_W,30,,
348,7/9/12,M_1_W,37,,
349,7/9/12,M_1_W,51,,
350,7/9/12,M_1_W,52,,
351,7/10/12,C_1,10,,
352,7/10/12,C_1,34,,
353,7/10/12,C_1,36,,
354,7/10/12,C_1,38,,
355,7/10/12,C_1,54,,
356,7/10/12,C_2,17,,
357,7/10/12,C_2,19,,
358,7/10/12,C_2,22,,
359,7/10/12,C_2,24,,
360,7/10/12,C_2,41,,
361,7/10/12,M_2,1,,
362,7/10/12,M_2,14,,
363,7/10/12,M_2,15,,
364,7/10/12,M_2,18,,
365,7/10/12,M_2,58,,
366,7/13/12,M_3,26,,
367,7/13/12,M_3,31,,
368,7/13/12,M_3,33,,
369,7/13/12,M_3,46,,
370,7/13/12,M_3,49,,
371,7/13/12,M_4_C,7,,
372,7/13/12,M_4_C,10,,
373,7/13/12,M_4_C,25,,
374,7/13/12,M_4_C,36,,
375,7/13/12,M_4_C,47,,
376,7/17/12,M_4_N,1,,
377,7/17/12,M_4_N,13,,
378,7/17/12,M_4_N,16,,
379,7/17/12,M_4_N,19,,
380,7/17/12,M_4_N,38,,
381,7/17/12,M_5,8,,
382,7/17/12,M_5,12,,
383,7/17/12,M_5,31,,
384,7/17/12,M_5,51,,
385,7/17/12,M_5,52,,
386,7/20/12,M_4_S,3,,
387,7/20/12,M_4_S,5,,
388,7/20/12,M_4_S,11,,
389,7/20/12,M_4_S,33,,
390,7/20/12,M_4_S,40,,
391,9/19/12,M_1_E,2,,
392,9/19/12,M_1_E,14,,
393,9/19/12,M_1_E,19,,
394,9/19/12,M_1_E,39,,
395,9/19/12,M_1_E,50,,
396,9/19/12,M_4_S,14,,
397,9/19/12,M_4_S,25,,
398,9/19/12,M_4_S,26,,
399,9/19/12,M_4_S,41,,
400,9/19/12,M_4_S,56,,
401,9/20/12,M_4_C,13,,
402,9/20/12,M_4_C,23,,
403,9/20/12,M_4_C,37,,
404,9/20/12,M_4_C,52,,
405,9/20/12,M_4_C,56,,
406,9/20/12,M_4_N,13,,
407,9/20/12,M_4_N,29,,
408,9/20/12,M_4_N,40,,
409,9/20/12,M_4_N,51,,
410,9/20/12,M_4_N,54,,
411,9/20/12,M_5,1,,
412,9/20/12,M_5,6,,
413,9/20/12,M_5,21,,
414,9/20/12,M_5,47,,
415,9/20/12,M_5,58,,
416,9/24/12,C_1,12,,
417,9/24/12,C_1,28,,
418,9/24/12,C_1,38,,
419,9/24/12,C_1,51,,
420,9/24/12,C_1,57,,
421,9/24/12,M_1_W,22,,
422,9/24/12,M_1_W,36,,
423,9/24/12,M_1_W,42,,
424,9/24/12,M_1_W,46,,
