,date,daily_evap_mm,daily_evap_m3,sam_et_m3H2O,typha_et_m3H2O,sacstab_et_m3H2O,scal_et_m3H2O,allspp_et_m3H2O
1,7/1/11,0,0,2329.09095,4920.492896,3858.600163,76.60672888,11184.79074
2,7/2/11,0,0,2407.523989,5065.201662,3994.448597,83.23420085,11550.40845
3,7/3/11,0,0,2368.455236,4970.118505,3935.552756,86.31297257,11360.43947
4,7/4/11,0,0,2089.726715,4425.044056,3477.732455,82.06977268,10074.573
5,7/5/11,0,0,2151.385953,4516.48167,3585.941585,87.76348649,10341.57269
6,7/6/11,0,0,1926.466114,4073.267804,3216.154411,84.16579762,9300.054127
7,7/7/11,0,0,2153.237181,4482.167506,3600.566149,96.03466882,10332.00551
8,7/8/11,0,0,2208.828758,4569.409476,3699.623326,102.4068266,10580.26839
9,7/9/11,0,0,2166.222273,4472.05733,3634.364798,105.2100894,10377.85449
10,7/10/11,0,0,1934.775713,4026.765909,3251.622021,100.4021056,9313.565748
11,7/11/11,0,0,1889.494272,3917.617646,3181.070005,102.2760987,9090.458021
12,7/12/11,0,0,1997.200922,4095.680072,3368.389698,110.9873973,9572.258089
13,7/13/11,0,0,1966.50725,4010.875184,3322.646894,113.4861145,9413.515442
14,7/14/11,0,0,1789.789716,3665.047559,3029.662859,109.2429457,8593.74308
15,7/15/11,0,0,1786.055043,3640.905068,3029.052842,113.1904183,8569.20337
16,7/16/11,0,0,1850.294363,3741.851678,3144.047509,120.8100955,8857.003646
17,7/17/11,0,0,1969.682139,3939.552581,3353.49559,131.6345369,9394.364847
18,7/18/11,0,0,2003.873474,3985.718841,3418.556735,138.531623,9546.680673
19,7/19/11,0,0,1905.681655,3787.204044,3257.70599,137.668888,9088.260577
20,7/20/11,0,0,1991.81248,3919.753219,3412.068403,147.5536906,9471.187793
21,7/21/11,0,0,1893.139599,3720.389692,3249.967175,146.3426062,9009.839071
22,7/22/11,0,0,1835.75915,3596.555786,3158.341046,147.5206933,8738.176675
23,7/23/11,0,0,1774.786805,3467.795499,3060.251273,148.3531239,8451.1867
24,7/24/11,0,0,1688.73554,3297.936727,2918.511298,147.4354563,8052.619021
25,7/25/11,0,0,1379.329591,2756.632601,2389.343591,131.5821586,6656.887942
26,7/26/11,0,0,1722.870641,3313.933388,2991.553419,159.478285,8187.835733
27,7/27/11,0,0,1680.831154,3217.093442,2925.669199,161.1226958,7984.716491
28,7/28/11,0,0,1690.154959,3214.891128,2949.232467,167.2279554,8021.50651
29,7/29/11,0,0,1591.700441,3035.162403,2784.519964,165.3496912,7576.732499
30,7/30/11,0,0,1653.787581,3110.826686,2900.689889,174.9574989,7840.261654
31,7/31/11,0,0,1566.070844,2942.081178,2754.181445,172.8687663,7435.202232
32,8/1/11,0,0,1602.420133,2996.920853,2818.107376,175.4156542,7592.864016
33,8/2/11,0,0,1719.4618,3170.466999,3032.223568,191.317687,8113.470054
34,8/3/11,0,0,1730.72167,3161.788068,3060.64152,197.8752603,8151.026518
35,8/4/11,0,0,1608.120017,2933.877244,2852.005266,192.0625916,7586.065118
36,8/5/11,0,0,1641.302842,2963.37149,2919.432496,201.0292803,7725.136107
37,8/6/11,0,0,1576.457129,2831.070984,2812.562261,200.2182655,7420.308639
38,8/7/11,0,0,1565.878513,2788.144972,2802.347431,204.9359472,7361.306864
39,8/8/11,0,0,1440.925969,2565.653402,2586.928962,197.775085,6791.283419
40,8/9/11,0,0,1389.259631,2470.049569,2502.312547,199.2022788,6560.824026
41,8/10/11,0,0,1467.158865,2554.513997,2651.480457,212.1464705,6885.29979
42,8/11/11,0,0,1308.932206,2285.037789,2373.673539,199.8978723,6167.541407
43,8/12/11,0,0,1220.53923,2132.821187,2221.207611,196.0796777,5770.647706
44,8/13/11,0,0,1235.996428,2133.893033,2257.516611,203.8682043,5831.274275
