"","date","month","year","sam_et_m3H2O","typha_et_m3H2O","sacstab_et_m3H2O","scal_et_m3H2O","allspp_et_m3H2O","monthly_frw1_outflow_m3","monthly_frw1_inflow_m3","monthly_frw1_deficit_m3","monthly_precip_mm","monthly_precip_m3","monthly_evap_m3"
"1",2011-07-01,7,2011,59363.2705001943,119898.511234203,100853.563549386,3851.82738923795,283967.172673021,NA,NA,NA,8.2,1722,0
"2",2011-08-01,8,2011,40995.3460103005,67321.8419507669,75759.1243182383,7193.6698668923,191269.982146198,NA,NA,NA,0,0,0
"3",2011-09-01,9,2011,22785.292836648,31156.3308496442,48061.9482201892,8408.88151547883,110412.45342196,NA,NA,NA,1,210,0
"4",2011-10-01,10,2011,14278.5753701283,23909.5700386171,34198.0665855608,8556.25033356195,80942.4623278682,NA,NA,NA,8.4,1764,0
"5",2011-11-01,11,2011,5328.09738049806,11101.3073065116,13472.8224659254,5248.4545609668,35150.6817139019,NA,NA,NA,19.3,4053,0
"6",2011-12-01,12,2011,1013.07026552587,3376.10336020445,2352.18135430427,2497.2081224229,9003.08193262689,NA,NA,NA,28.8,6048,0
"7",2012-01-01,1,2012,1981.91504587612,3660.96362065136,4850.6603827179,2660.1752989034,13153.7143481488,2903674.011,0,-2903674.011,0.5,105,0
"8",2012-02-01,2,2012,1512.62736767985,3365.74077581609,5221.85440985347,2629.26800885595,12729.4905622054,2315438.344,0,-2315438.344,0.5,105,0
"9",2012-03-01,3,2012,3168.44077646608,10483.7273187312,10001.249428639,4552.33341206825,28205.7509359045,3484662.44,0,-3484662.44,13.2,2772,0
"10",2012-04-01,4,2012,8928.36000229183,29596.2440718502,21099.6298384131,8588.72978046106,68212.9636930162,3035285.172,0,-3035285.172,0.5,105,0
"11",2012-05-01,5,2012,21479.5263215875,62412.147486812,44433.8604356855,13115.0116900107,141440.545934096,2738621.785,0,-2738621.785,0,0,0
"12",2012-06-01,6,2012,36570.8935833329,93988.5607149828,71520.7682892116,14549.4880560577,216629.710643585,3565383.376,0,-3565383.376,0,0,0
"13",2012-07-01,7,2012,40277.2777511216,95140.1180166971,67541.6930819064,11352.4711211698,214311.559970895,4301222.488,0,-4301222.488,27.8,5838,0
"14",2012-08-01,8,2012,40982.5019456393,85981.5134759223,49718.8641819258,6717.35758950237,183400.23719299,3951165.202,0,-3951165.202,45.9,9639,0
"15",2012-09-01,9,2012,16490.7802423019,32999.7170100414,16137.6575659362,1873.04762520374,67501.2024434832,3430238.419,0,-3430238.419,7.7,1617,0
"16",2012-10-01,10,2012,14276.081340157,30449.6618928801,16007.2300945076,2538.18905149687,63271.1623790416,4840171.1,5365799.16033259,525628.060332595,0,0,0
"17",2012-11-01,11,2012,3902.99839978687,9504.39603558294,5096.9526504512,1426.82707938912,19931.1741652101,3894149.2,4235670.56422751,341521.364227507,0.5,105,0
"18",2012-12-01,12,2012,332.948154377164,990.440898796549,528.867597198637,313.594738938753,2165.8513893111,4290962.2,4627657.88390065,336695.683900653,25.2,5292,0
"19",2013-01-01,1,2013,131.800971782358,763.772178310568,489.423111715778,790.060818242893,2139.26040901709,4270875.2,NA,NA,31,6510,0
"20",2013-02-01,2,2013,317.542898830445,1494.46093243506,1396.49728972988,1230.20054104739,4438.70166204277,4143493.3,4259582.80607275,116089.506072747,5.5,1155,0
"21",2013-03-01,3,2013,1054.85225967135,7129.50543979639,6422.47936330145,3116.52751352908,17723.3645762983,4756715.3,4852715.36515929,96000.0651592928,8.9,1869,0
"22",2013-04-01,4,2013,3452.10404920015,25586.9170589588,21594.6304282781,9691.22251793616,60324.8740543732,5669764.2,5903498.03714179,233733.837141785,0.3,63,0
"23",2013-05-01,5,2013,5842.0614517557,53025.1215684809,37265.488773151,14215.3417603589,110348.013553746,3927349.6,4093012.54944986,165662.949449858,0,0,0
"24",2013-06-01,6,2013,4380.42137077446,58231.1905109268,28522.6794054945,7559.70707807238,98693.9983652682,3635557.5,3966089.89947948,330532.399479485,0,0,0
"25",2013-07-01,7,2013,3242.01480538604,55422.4448393512,22096.5779630827,5691.68894941765,86452.7265572376,4148155,4455812.71125479,307657.711254789,2,420,83919.1149582207
"26",2013-08-01,8,2013,2861.71182306707,70288.2619925544,26530.5319518657,9824.48521630444,109504.990983792,4167863,4568313.26383677,400450.263836767,38.5,8085,81756.0293155397
"27",2013-09-01,9,2013,706.633114314705,40566.0814044989,13714.44278781,7822.03664437026,62809.1939509938,4252607.4,4650092.77017268,397485.370172682,30.1,6321,69025.7585282162
"28",2013-10-01,10,2013,288.861895061337,22043.5969710197,8827.9532654511,3291.48008805558,34451.8922195878,6286245.6,6866102.56603068,579856.966030684,1.6,336,59603.1448569092
"29",2013-11-01,11,2013,406.435280774732,715.211598073296,410.919536062502,177.36451444646,1709.93092935699,5043807.8,5333544.39116759,289736.591167594,115.1,24171,21054.5972320323
"30",2013-12-01,12,2013,319.737762926666,868.472115473631,447.041187980861,368.283226280821,2003.53429266198,4042641.4,4367120.44438602,324479.044386025,19.3,4053,21373.9588638327
"31",2014-01-01,1,2014,16.6475051917458,2936.18236807917,982.148114761347,1149.61774813164,5084.5957361639,3673381.7,3933403.64711905,260021.947119051,0,0,34883.0055777551
"32",2014-02-01,2,2014,99.3470728954491,9393.81638021826,1528.38019994317,2063.83657425955,13085.3802273164,3240639.5,3450903.41148833,210263.911488326,0,0,74027.6494698718
"33",2014-03-01,3,2014,159.946542006704,17659.3168035576,2941.72614332829,4685.52511055833,25446.514599451,3384697.4,3576317.75454552,191620.354545524,51.6,10836,106983.030775615
"34",2014-04-01,4,2014,70.3895326607221,27997.5425451815,8948.59350189752,12190.5195414506,49207.0451211903,4197008.1,4503317.39792421,306309.297924215,1.8,378,130574.497603339
"35",2014-05-01,5,2014,0,54738.8678803665,23679.5843470057,14512.3405189575,92930.7927463297,2590313.4,2589285.46903864,-1027.93096135586,0,0,134644.552012871
"36",2014-06-01,6,2014,0,92896.8334441245,44813.1750960695,5879.38863131412,143589.397171508,2751085.2,2955550.29771889,204465.097718888,0,0,125067.651447327
"37",2014-07-01,7,2014,0,104658.072674947,53167.1373527925,0,157825.210027739,3678119.2,3791196.92937261,113077.729372607,12.5,2625,121436.818389499
"38",2014-08-01,8,2014,0,33688.3652068539,18530.88755263,1505.82217209895,53725.0749315829,4145843.1,4240687.62747808,94844.5274780769,138.9,29169,49302.081841411
"39",2014-09-01,9,2014,0,51980.5828391724,13919.1956018064,11181.6721902147,77081.4506311936,4157137.3,4327189.73157958,170052.431579581,250,52500,86760.309894523
"40",2014-10-01,10,2014,0,45959.4437939478,16515.6061088522,3538.41333194137,66013.4632347414,5807833.9,6044805.66201611,236971.76201611,2.9,609,76135.1836618517
"41",2014-11-01,11,2014,0,22026.3605825632,5660.72218099269,3397.11304341334,31084.1958069692,4068375.5,4114059.44273755,45683.9427375533,0,0,73153.4049891091
"42",2014-12-01,12,2014,0,7832.64766006325,1619.52574601534,3986.44284974823,13357.0441300256,2375609.9,2712128.40978267,336518.509782673,42.5,8925,49167.4350003922
"43",2015-01-01,1,2015,0,5676.44465118078,1256.05189144111,4670.97375508689,11531.1680411655,3352671.9,3347605.74158722,-5066.15841278239,46.7,9807,58956.7829015234
"44",2015-02-01,2,2015,0,10523.7332881631,2859.98229296195,4465.67450371352,17849.3900848386,2425372.6,2449995.88306982,24623.2830698179,11.2,2352,68390.5185066352
"45",2015-03-01,3,2015,0,20654.2539277616,6243.19894263036,4264.19226116726,31161.6451315592,1776752,1822589.92226078,45837.9222607797,52.3,10983,95026.9953225313
"46",2015-04-01,4,2015,0,27677.0585582239,8707.15390221984,4176.50701887065,40560.7194793144,2151620.9,2318975.76607433,167354.866074329,8,1680,117333.795574874
"47",2015-05-01,5,2015,0,45346.4863489876,13694.9514208454,6520.75346286792,65562.191232701,1973983.6,2451758.89696323,477775.29696323,49.5,10395,116663.677557858
"48",2015-06-01,6,2015,0,114183.396694668,25106.1591673677,10048.6304364662,149338.186298502,2029355.5,2557153.64369118,527798.143691178,18.6,3906,120604.856468533
"49",2015-07-01,7,2015,0,102947.684444228,21736.1249291986,11979.1436208708,136662.952994297,2118306.8,2617833.70460017,499526.904600168,77.7,16317,119959.658412653
